Equipo,Posición,Jugados,Ganados,Empatados,Perdidos,Goles a Favor,Goles en Contra,Diferencia de Goles,Puntos
Manchester City FC,1,38,28,7,3,96,34,62,91
Arsenal FC,2,38,28,5,5,91,29,62,89
Liverpool FC,3,38,24,10,4,86,41,45,82
Aston Villa FC,4,38,20,8,10,76,61,15,68
Tottenham Hotspur FC,5,38,20,6,12,74,61,13,66
Chelsea FC,6,38,18,9,11,77,63,14,63
Newcastle United FC,7,38,18,6,14,85,62,23,60
Manchester United FC,8,38,18,6,14,57,58,-1,60
West Ham United FC,9,38,14,10,14,60,74,-14,52
Crystal Palace FC,10,38,13,10,15,57,58,-1,49
Brighton & Hove Albion FC,11,38,12,12,14,55,62,-7,48
Everton FC,12,38,13,9,16,40,51,-11,48
AFC Bournemouth,13,38,13,9,16,54,67,-13,48
Fulham FC,14,38,13,8,17,55,61,-6,47
Wolverhampton Wanderers FC,15,38,13,7,18,50,65,-15,46
Brentford FC,16,38,10,9,19,56,65,-9,39
Nottingham Forest FC,17,38,9,9,20,49,67,-18,36
Luton Town FC,18,38,6,8,24,52,85,-33,26
Burnley FC,19,38,5,9,24,41,78,-37,24
Sheffield United FC,20,38,3,7,28,35,104,-69,16
