Equipo,Promedio de Goles a Favor por Partido,Promedio de Goles en Contra por Partido
Manchester City FC,2.526315789473684,0.8947368421052632
Arsenal FC,2.3947368421052633,0.7631578947368421
Liverpool FC,2.263157894736842,1.0789473684210527
Aston Villa FC,2.0,1.605263157894737
Tottenham Hotspur FC,1.9473684210526316,1.605263157894737
Chelsea FC,2.026315789473684,1.6578947368421053
Newcastle United FC,2.236842105263158,1.631578947368421
Manchester United FC,1.5,1.5263157894736843
West Ham United FC,1.5789473684210527,1.9473684210526316
Crystal Palace FC,1.5,1.5263157894736843
Brighton & Hove Albion FC,1.4473684210526316,1.631578947368421
Everton FC,1.0526315789473684,1.3421052631578947
AFC Bournemouth,1.4210526315789473,1.763157894736842
Fulham FC,1.4473684210526316,1.605263157894737
Wolverhampton Wanderers FC,1.3157894736842106,1.7105263157894737
Brentford FC,1.4736842105263157,1.7105263157894737
Nottingham Forest FC,1.2894736842105263,1.763157894736842
Luton Town FC,1.368421052631579,2.236842105263158
Burnley FC,1.0789473684210527,2.0526315789473686
Sheffield United FC,0.9210526315789473,2.736842105263158
